OrderDate,GWP,VS
19/2/2017,17754.85714,4453.333333
20/2/2017,17754.85714,4453.333333
21/2/2017,17754.85714,4453.333333
22/2/2017,17754.85714,4453.333333
23/2/2017,17754.85714,4453.333333
24/2/2017,17754.85714,4453.333333
25/2/2017,17754.85714,4453.333333
26/2/2017,17754.85714,4453.333333
27/2/2017,17754.85714,4453.333333
28/2/2017,17754.85714,4453.333333
1/3/2017,22237,2698.75
2/3/2017,22237,2698.75
3/3/2017,22237,2698.75
4/3/2017,22237,2698.75
5/3/2017,22237,2698.75
6/3/2017,22237,2698.75
7/3/2017,22237,2698.75
8/3/2017,22237,2698.75
9/3/2017,22237,2698.75
10/3/2017,22237,2698.75
11/3/2017,22237,2698.75
12/3/2017,22237,2698.75
13/3/2017,22237,2698.75
14/3/2017,22237,2698.75
15/3/2017,22237,2698.75
16/3/2017,22237,2698.75
17/3/2017,22237,2698.75
18/3/2017,22237,2698.75
19/3/2017,22237,2698.75
20/3/2017,22237,2698.75
21/3/2017,22237,2698.75
22/3/2017,22237,2698.75
23/3/2017,22237,2698.75
24/3/2017,22237,2698.75
25/3/2017,22237,2698.75
26/3/2017,22237,2698.75
27/3/2017,22237,2698.75
28/3/2017,22237,2698.75
29/3/2017,22237,2698.75
30/3/2017,22237,2698.75
31/3/2017,22237,2698.75
1/4/2017,9229.777778,5370.723443
2/4/2017,9229.777778,5370.723443
3/4/2017,9229.777778,5370.723443
4/4/2017,9229.777778,5370.723443
5/4/2017,9229.777778,5370.723443
6/4/2017,9229.777778,5370.723443
7/4/2017,9229.777778,5370.723443
8/4/2017,9229.777778,5370.723443
9/4/2017,9229.777778,5370.723443
10/4/2017,9229.777778,5370.723443
11/4/2017,9229.777778,5370.723443
12/4/2017,9229.777778,5370.723443
13/4/2017,9229.777778,5370.723443
14/4/2017,9229.777778,5370.723443
15/4/2017,9229.777778,5370.723443
16/4/2017,9229.777778,5370.723443
17/4/2017,9229.777778,5370.723443
18/4/2017,9229.777778,5370.723443
19/4/2017,9229.777778,5370.723443
20/4/2017,9229.777778,5370.723443
21/4/2017,9229.777778,5370.723443
22/4/2017,9229.777778,5370.723443
23/4/2017,9229.777778,5370.723443
24/4/2017,9229.777778,5370.723443
25/4/2017,9229.777778,5370.723443
26/4/2017,9229.777778,5370.723443
27/4/2017,9229.777778,5370.723443
28/4/2017,9229.777778,5370.723443
29/4/2017,9229.777778,5370.723443
30/4/2017,9229.777778,5370.723443
1/5/2017,2262.222222,30830.30311
2/5/2017,2262.222222,30830.30311
3/5/2017,2262.222222,30830.30311
4/5/2017,2262.222222,30830.30311
5/5/2017,2262.222222,30830.30311
6/5/2017,2262.222222,30830.30311
7/5/2017,2262.222222,30830.30311
8/5/2017,2262.222222,30830.30311
9/5/2017,2262.222222,30830.30311
10/5/2017,2262.222222,30830.30311
11/5/2017,2262.222222,30830.30311
12/5/2017,2262.222222,30830.30311
13/5/2017,2262.222222,30830.30311
14/5/2017,2262.222222,30830.30311
15/5/2017,2262.222222,30830.30311
16/5/2017,2262.222222,30830.30311
17/5/2017,2262.222222,30830.30311
18/5/2017,2262.222222,30830.30311
19/5/2017,2262.222222,30830.30311
20/5/2017,2262.222222,30830.30311
21/5/2017,2262.222222,30830.30311
22/5/2017,2262.222222,30830.30311
23/5/2017,2262.222222,30830.30311
24/5/2017,2262.222222,30830.30311
25/5/2017,2262.222222,30830.30311
26/5/2017,2262.222222,30830.30311
27/5/2017,2262.222222,30830.30311
28/5/2017,2262.222222,30830.30311
29/5/2017,2262.222222,30830.30311
30/5/2017,2262.222222,30830.30311
31/5/2017,2262.222222,30830.30311
1/6/2017,0,25725.89011
2/6/2017,0,25725.89011
3/6/2017,0,25725.89011
4/6/2017,0,25725.89011
5/6/2017,0,25725.89011
6/6/2017,0,25725.89011
7/6/2017,0,25725.89011
8/6/2017,0,25725.89011
9/6/2017,0,25725.89011
10/6/2017,0,25725.89011
11/6/2017,0,25725.89011
12/6/2017,0,25725.89011
13/6/2017,0,25725.89011
14/6/2017,0,25725.89011
15/6/2017,0,25725.89011
16/6/2017,0,25725.89011
17/6/2017,0,25725.89011
18/6/2017,0,25725.89011
19/6/2017,0,25725.89011
20/6/2017,0,25725.89011
21/6/2017,0,25725.89011
22/6/2017,0,25725.89011
23/6/2017,0,25725.89011
24/6/2017,0,25725.89011
25/6/2017,0,25725.89011
26/6/2017,0,25725.89011
27/6/2017,0,25725.89011
28/6/2017,0,25725.89011
29/6/2017,0,25725.89011
30/6/2017,0,25725.89011
1/7/2017,300,21170
2/7/2017,300,21170
3/7/2017,300,21170
4/7/2017,300,21170
5/7/2017,300,21170
6/7/2017,300,21170
7/7/2017,300,21170
8/7/2017,300,21170
9/7/2017,300,21170
10/7/2017,300,21170
11/7/2017,300,21170
12/7/2017,300,21170
13/7/2017,300,21170
14/7/2017,300,21170
15/7/2017,300,21170
16/7/2017,300,21170
17/7/2017,300,21170
18/7/2017,300,21170
19/7/2017,300,21170
20/7/2017,300,21170
21/7/2017,300,21170
22/7/2017,300,21170
23/7/2017,300,21170
24/7/2017,300,21170
25/7/2017,300,21170
26/7/2017,300,21170
27/7/2017,300,21170
28/7/2017,300,21170
29/7/2017,300,21170
30/7/2017,300,21170
31/7/2017,300,21170
1/8/2017,600,12955
2/8/2017,600,12955
3/8/2017,600,12955
4/8/2017,600,12955
5/8/2017,600,12955
6/8/2017,600,12955
7/8/2017,600,12955
8/8/2017,600,12955
9/8/2017,600,12955
10/8/2017,600,12955
11/8/2017,600,12955
12/8/2017,600,12955
13/8/2017,600,12955
14/8/2017,600,12955
15/8/2017,600,12955
16/8/2017,600,12955
17/8/2017,600,12955
18/8/2017,600,12955
